label,name_en,name_tr,latin_name,habitat,size,status,info_en,info_tr
angelfish,Angelfish,Melek balığı,Pterophyllum,Freshwater (Amazon Basin),15–20 cm,Least Concern,"""Angelfish are freshwater cichlids native to the Amazon Basin, known for their triangular shape and graceful fins.""","""Melek balıkları, Amazon havzasına özgü üçgen vücutlu ve zarif yüzgeçli tatlı su cikletleridir."""
bluetang,Blue Tang,Mavi Cerrahbalığı,Paracanthurus hepatus,Coral reefs (Indo-Pacific),15–30 cm,Least Concern,"""Blue tangs are brightly colored reef fish known for their vibrant blue bodies and yellow tails.""","""Mavi Cerrahbalıkları, parlak mavi gövdeleri ve sarı kuyruklarıyla bilinen mercan resifi balıklarıdır."""
butterflyfish,ButterflyFish,Kelebek balığı,Chaetodontidae,Coral reefs (Tropical Indo-Pacific and Atlantic),12–22 cm,Least Concern,"""Butterflyfish are small, colorful reef fish with distinctive patterns and long snouts, often seen in pairs.""","""Kelebek balıkları, genellikle çiftler halinde görülen, uzun burunlu ve desenli renkli mercan resifi balıklarıdır."""
clownfish,ClownFish,Palyaço balığı,Amphiprioninae,Coral reefs (Indo-Pacific),10–18 cm,Stable,"""Clownfish are known for their mutual relationship with sea anemones and their bright orange coloration.""","""Palyaço balıkları, deniz şakayıklarıyla simbiyotik yaşamları ve parlak turuncu renkleriyle bilinir."""
goldfish,GoldFish,Japon balığı,Carassius auratus,"Freshwater (ponds, aquariums)",15–30 cm (can grow up to 40 cm),Domesticated,"""Goldfish are one of the most popular freshwater aquarium fish, bred in many varieties for color and shape.""","""Japon balıkları, çeşitli renk ve şekillerde üretilmiş, en yaygın tatlı su akvaryum balıklarından biridir."""
gourami,Gourami,Guramiler,Osphronemidae,"Freshwater (rivers, swamps, Southeast Asia)",5–30 cm (species-dependent),Stable,"""Gouramis are freshwater fish known for their labyrinth organ, allowing them to breathe air.""","""Guramiler, havayı solumalarını sağlayan labirent organlarıyla bilinen tatlı su balıklarıdır."""
morishidol,Moorish Idol,Moorish idol balığı,Zanclus cornutus,Coral reefs (Indo-Pacific),20–23 cm,Unknown,"The Moorish idol is a striking reef fish known for its long dorsal fin and bold black, white, and yellow coloration.","Moorish idol balığı, uzun sırt yüzgeci ve siyah-beyaz-sarı renkleriyle dikkat çeken bir mercan resifi balığıdır."
platyfish,Platy,Fanus balığı,Xiphophorus maculatus,"Freshwater (rivers, canals – Central America)",4–6 cm,Domesticated,"Platies are small, peaceful freshwater fish popular in home aquariums for their bright colors and easy care.","Fanus balıkları, parlak renkleri ve kolay bakımları sayesinde ev akvaryumlarında popüler olan küçük, barışçıl tatlı su balıklarıdır."
ribbonedsweetlips,Ribboned Sweetlips,Şeritli tatlı dudak,Plectorhinchus polytaenia,Coral reefs (Western Pacific Ocean),Up to 40 cm,Unknown,Ribboned sweetlips are tropical reef fish recognized by their horizontal yellow stripes and fleshy lips.,"Şeritli tatlı dudak balıkları, yatay sarı çizgileri ve etli dudaklarıyla tanınan tropikal resif balıklarıdır."
threestrippeddamselfish,Whitetail Dascyllus,Beyaz kuyruklu dascyllus,Dascyllus aruanus,Coral reefs (Indo-Pacific),8–10 cm,Least Concern,"Whitetail dascyllus are small, schooling reef fish with a distinctive white tail and black body.","Beyaz kuyruklu dascylluslar, belirgin beyaz kuyruk ve siyah gövdeleriyle küçük, sürü halinde yaşayan resif balıklarıdır."
yellowcichlid,Yellow Cichlid,Sarı ciklet,Labidochromis caeruleus,"Freshwater (Lake Malawi, Africa)",8–10 cm,Least Concern,Yellow cichlids are popular brightly colored aquarium fish native to Lake Malawi.,"Sarı cikletler, Afrika’nın Malawi Gölü’ne özgü, parlak renkli ve popüler akvaryum balıklarıdır."
yellowtang,Yellow Tang,Sarı tang,Zebrasoma flavescens,Coral reefs (Central and Western Pacific),18–20 cm,Least Concern,Yellow tangs are bright yellow reef fish commonly found in the Pacific and popular in home aquariums.,"Sarı tanglar, Pasifik’te yaygın olan ve ev akvaryumlarında popüler olan parlak sarı resif balıklarıdır."
zebrafish,Zebrafish,Zebra balığı,Danio rerio,Freshwater (South Asia),4–6 cm,Common,"Zebrafish are small freshwater fish widely used in research, recognized by their horizontal blue and white stripes.","Zebra balıkları, yatay mavi ve beyaz çizgileriyle tanınan, araştırmalarda yaygın kullanılan küçük tatlı su balıklarıdır."